link_id,within_group_rank,within_group_percentile,group_name,group_type,global_risk_rank,ranking_source,risk_percentile,predicted_xgb,predicted_glm,collision_count,fatal_count,serious_count,estimated_aadt,link_length_km,road_classification,road_function,family,road_archetype,form_of_way,road_number,is_motorway,is_trunk,is_primary,is_dual,is_slip_road,is_roundabout,ruc_urban_rural,ruc_class,speed_limit_mph_effective,speed_limit_mph,mean_grade,low_exposure_flag,sparse_collision_history_flag,calibration_caveat,centroid_longitude,centroid_latitude,output_created_at_utc,source_risk_scores_file,model_output_version,deprivation_area_code,deprivation_area_type,deprivation_country,deprivation_source,deprivation_assignment_method,deprivation_assignment_distance_m,overall_decile_within_country,income_decile_within_country,employment_decile_within_country,deprivation_country_england,deprivation_country_wales,deprivation_country_scotland,max_grade,grade_change,mean_curvature_deg_per_km,max_curvature_deg_per_km,sinuosity,speed_limit_mph_imputed,degree_mean,dist_to_major_km,pop_density_per_km2,betweenness_relative
151C3468-CD42-4DC9-9DB4-0B03FE374503,11,99.75514201762977,motorway,family,11,risk_percentile,99.99953865111736,7.231148,4.6357427,59,2,14,83798.9,6.82,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M6,True,True,True,True,False,False,Urban,Urban: Nearer to a major town or city,70,,1.7591642504242058,False,False,motorway calibration caveat,-2.687492623739414,53.6637277340793,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01024971,LSOA2021,England,IoD 2025,within,0.0,8,8,7,1,0,0,12.445810106065538,129.4219207763672,,,,True,3.0,0.0,738.176776124484,1.7403455142949733
0E4A9C14-C13E-4F70-9A16-6306AE5D3296,12,99.73065621939276,motorway,family,12,risk_percentile,99.99949251622911,7.1376395,4.475196,46,2,9,56597.7,10.689,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M42,True,True,True,True,False,False,Rural,Larger rural: Nearer to a major town or city,70,70,2.556391885838399,False,False,motorway calibration caveat,-1.5949444874057335,52.64645006452468,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01031035,LSOA2021,England,IoD 2025,within,0.0,4,5,5,1,0,0,16.74614800347222,371.10919189453125,,,,False,3.0,0.0,58.350097533754756,0.6867779406271284
BF145B8F-DF6F-4D8F-88E4-3943C5A72A44,13,99.70617042115573,motorway,family,13,risk_percentile,99.99944638134085,7.072244,4.353537,73,0,17,70388.0,7.469,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M6,True,True,True,True,False,False,Rural,Larger rural: Nearer to a major town or city,70,,1.1098287420983166,False,False,motorway calibration caveat,-2.1010228225121557,52.728283238696804,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01029655,LSOA2021,England,IoD 2025,within,0.0,6,6,5,1,0,0,6.828867594401042,93.51707458496094,,,,True,3.0,0.0,1079.2082724702639,1.2129397632419494
07E13017-66B1-462C-8A91-6171375AF51C,14,99.68168462291871,motorway,family,14,risk_percentile,99.99940024645258,6.923299,2.9072301,50,2,3,87737.7,7.704,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M1,True,True,True,True,False,False,Urban,Urban: Nearer to a major town or city,70,70,1.627628209417681,False,False,motorway calibration caveat,-1.2464037875963587,53.02670827254173,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01028123,LSOA2021,England,IoD 2025,within,0.0,9,9,8,1,0,0,8.799082438151041,136.15533447265625,,,,False,3.0,0.0,60.10811611035441,0.8506454110806168
A9B8EF1C-FC42-4E4B-9DFB-8C218F5D2FDB,15,99.65719882468169,motorway,family,15,risk_percentile,99.99935411156432,6.817464,2.6866524,32,1,6,47498.3,10.771,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,A1(M),True,True,True,True,False,False,Rural,Larger rural: Nearer to a major town or city,22,22,2.2710246416292303,False,False,motorway calibration caveat,-1.1037587704498768,53.436059351778376,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01007614,LSOA2021,England,IoD 2025,within,0.0,7,7,6,1,0,0,10.015347798665365,309.20367431640625,,,,False,3.0,0.0,2019.006154659156,2.419129371036253
16B613FC-2995-42B1-83E0-AC7F83065EEC,16,99.63271302644466,motorway,family,16,risk_percentile,99.99930797667605,6.7401686,4.1582727,84,5,15,44571.8,13.866,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M40,True,True,True,True,False,False,Rural,Smaller rural: Nearer to a major town or city,70,,2.0965151079836897,False,False,motorway calibration caveat,-1.6976219918974393,52.30221249997159,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01031281,LSOA2021,England,IoD 2025,within,0.0,7,10,10,1,0,0,10.655415852864584,376.1131286621094,,,,True,3.0,0.0,40.77890677219508,0.47103968549734465
756626D6-5192-44E6-90B9-292B3A15D742,17,99.60822722820764,motorway,family,17,risk_percentile,99.99926184178778,6.727235,3.8676848,33,2,6,61267.0,8.115,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M1,True,True,True,True,False,False,Rural,Larger rural: Nearer to a major town or city,18,18,2.561659512887566,False,False,motorway calibration caveat,-1.2592001013364873,52.66206221494741,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01025848,LSOA2021,England,IoD 2025,within,0.0,6,6,6,1,0,0,14.512752956814237,267.2391357421875,,,,False,3.0,0.0,98.13761759312264,0.8681887098631901
CD5E5752-A199-46E0-A8E6-BF680BE4D1E3,18,99.58374142997062,motorway,family,18,risk_percentile,99.99921570689952,6.686406,3.7297497,86,2,4,68203.1,4.846,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M6,True,True,True,True,False,False,Urban,Urban: Nearer to a major town or city,70,,1.8160814220664931,False,False,motorway calibration caveat,-2.027655612475882,52.61194471934717,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01010400,LSOA2021,England,IoD 2025,within,0.0,1,1,1,1,0,0,10.337660047743055,118.87239074707031,,,,True,2.5,0.0,5465.061505396535,0.8001782928240675
6BD1F007-9650-4D84-88D9-40BADED164DB,19,99.55925563173359,motorway,family,19,risk_percentile,99.99916957201125,6.6418867,4.823392,105,0,18,71928.4,7.765,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M56,True,True,True,True,False,False,Rural,Larger rural: Nearer to a major town or city,70,,1.0994592995416794,False,False,motorway calibration caveat,-2.751517548320617,53.28852599553826,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01018689,LSOA2021,England,IoD 2025,within,0.0,6,7,6,1,0,0,10.077121522691515,115.79410552978516,,,,True,3.0,0.0,20.071392002035388,0.8237607447139093
22CC6D97-4AD1-412F-A51D-5851D2B3FBD9,20,99.53476983349657,motorway,family,20,risk_percentile,99.99912343712299,6.4079375,4.163032,107,3,18,55438.9,8.304,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M18,True,True,True,True,False,False,Rural,Smaller rural: Nearer to a major town or city,70,,2.201432429641395,False,False,motorway calibration caveat,-1.2048609135550021,53.45616227418135,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01007613,LSOA2021,England,IoD 2025,within,0.0,6,8,8,1,0,0,7.891989813910591,232.478271484375,,,,True,3.0,0.0,144.8248920029617,0.2895381360570696
A0E0E728-BB7C-4FAD-93A3-30DDA7DE2974,21,99.51028403525955,motorway,family,21,risk_percentile,99.99907730223472,6.404214,3.8086185,72,2,10,59533.0,8.214,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M5,True,True,True,True,False,False,Urban,Urban: Nearer to a major town or city,70,,1.7136323766672668,False,False,motorway calibration caveat,-2.134867429710283,52.250621579512426,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01034328,LSOA2021,England,IoD 2025,within,0.0,8,6,9,1,0,0,9.571058485243055,160.61778259277344,,,,True,3.0,0.0,2082.3122343964187,0.3221728823620329
76058281-58AF-4A71-8267-F81E867C4907,22,99.48579823702252,motorway,family,22,risk_percentile,99.99903116734646,6.070069,4.61818,49,1,9,86845.8,7.212,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,A1(M),True,True,True,True,False,False,Rural,Smaller rural: Nearer to a major town or city,70,70,1.3405392792692696,False,False,motorway calibration caveat,-1.3874593931903296,54.0462974691261,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01027647,LSOA2021,England,IoD 2025,within,0.0,7,9,9,1,0,0,6.937425401475695,98.53759002685547,,,,False,3.0,0.0,31.626629959672115,2.3500007074814637
D4178A17-E84A-4B2E-8904-3052B12EBCED,23,99.46131243878551,motorway,family,23,risk_percentile,99.9989850324582,6.0697374,3.770166,94,3,12,57746.1,8.182,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M42,True,True,True,True,False,False,Rural,Larger rural: Nearer to a major town or city,70,,2.441000963056301,False,False,motorway calibration caveat,-1.6848711464899284,52.57309333266828,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01031034,LSOA2021,England,IoD 2025,within,0.0,8,9,8,1,0,0,11.775809393988714,266.2964782714844,,,,True,3.0,0.0,2763.5197780047147,0.7847634935215217
125399AD-1A16-48E7-8074-6A0E88E1CB7A,24,99.43682664054847,motorway,family,24,risk_percentile,99.99893889756993,5.998707,4.627795,30,0,9,75239.0,3.316,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M5,True,True,True,True,False,False,Urban,Urban: Nearer to a major town or city,16,16,1.7208432421518773,False,False,motorway calibration caveat,-1.9976188036398714,52.50402918203521,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01010019,LSOA2021,England,IoD 2025,within,0.0,1,1,2,1,0,0,12.529703776041668,62.45811462402344,,,,False,3.0,0.0,2734.5816502297803,0.019254402411916397
94335A1E-00A6-4E4F-8FD4-63CCAED8C1D8,25,99.41234084231147,motorway,family,25,risk_percentile,99.99889276268166,5.867829,4.697504,47,1,8,83170.2,5.884,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M1,True,True,True,True,False,False,Urban,Urban: Nearer to a major town or city,70,,2.454089887929883,False,False,motorway calibration caveat,-1.5374467090920436,53.57568237833471,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01007386,LSOA2021,England,IoD 2025,within,0.0,8,9,8,1,0,0,11.729838053385416,171.95999145507812,,,,True,3.0,0.0,834.8536739905365,0.9012048249404914
FF77B84F-94AB-4C44-9046-8A8DDEB159E7,26,99.38785504407444,motorway,family,26,risk_percentile,99.99884662779341,5.747057,2.8667805,42,0,15,47136.2,8.571,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M18,True,True,True,True,False,False,Rural,Smaller rural: Nearer to a major town or city,22,22,1.9079804745339926,False,False,motorway calibration caveat,-1.0638091043828821,53.503430213085075,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01007603,LSOA2021,England,IoD 2025,within,0.0,8,8,8,1,0,0,9.543869230482313,212.38723754882812,,,,False,3.0,0.0,3741.7578719781623,0.26915943567473377
EEED327D-2663-4AC8-8F13-917E95D9A709,27,99.36336924583742,motorway,family,27,risk_percentile,99.99880049290515,5.710622,4.056068,36,3,10,85490.7,6.183,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M1,True,True,True,True,False,False,Urban,Urban: Nearer to a major town or city,70,70,3.053286471752883,False,False,motorway calibration caveat,-1.2828558331052875,52.72954050678498,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01025934,LSOA2021,England,IoD 2025,within,0.0,2,2,2,1,0,0,17.57571750217014,208.45501708984375,,,,False,3.0,0.0,15.563645916118691,0.9305856225935442
56A5F964-AF60-437F-81DF-2BD9A89CAF1E,28,99.3388834476004,motorway,family,28,risk_percentile,99.99875435801688,5.6218233,3.2356668,45,1,10,51561.9,9.775,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M180,True,True,True,True,False,False,Rural,Smaller rural: Nearer to a major town or city,70,,1.5361589248385845,False,False,motorway calibration caveat,-0.486334711106028,53.56463092482495,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01013269,LSOA2021,England,IoD 2025,within,0.0,8,8,7,1,0,0,10.304029252794054,193.42605590820312,,,,True,3.0,0.0,54.215497671425155,0.1490322585388233
3D1AA056-8532-4D96-854B-EA7F821AAE07,29,99.31439764936337,motorway,family,29,risk_percentile,99.99870822312862,5.583457,4.646392,26,1,7,89315.3,5.856,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M1,True,True,True,True,False,False,Rural,Smaller rural: Nearer to a major town or city,70,,2.4637627915302995,False,False,motorway calibration caveat,-1.2892583957175274,52.788747405845264,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01025944,LSOA2021,England,IoD 2025,within,0.0,9,9,9,1,0,0,18.540479871961807,180.90927124023438,,,,True,3.0,0.0,59.19016013770838,0.9406240171388992
CE4B5E8C-87EF-48BE-927C-F2E6721831F2,30,99.28991185112635,motorway,family,30,risk_percentile,99.99866208824035,5.5160685,5.3821144,28,0,5,80992.7,6.956,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M56,True,True,True,True,False,False,Rural,Smaller rural: Nearer to a major town or city,23,23,1.5226427847020638,False,False,motorway calibration caveat,-2.4423930645655565,53.36203659278303,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01018598,LSOA2021,England,IoD 2025,within,0.0,8,10,10,1,0,0,16.688427395290798,119.8934326171875,,,,False,3.0,0.0,35.33595707716308,0.9250638367704556
2A1D9459-B462-4DB0-BF41-86804EB9C5CF,31,99.26542605288932,motorway,family,31,risk_percentile,99.99861595335209,5.50797,4.5276027,68,0,15,58802.0,8.821,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M6,True,True,True,True,False,False,Rural,Smaller rural: Nearer to a major town or city,70,,2.2386372767741642,False,False,motorway calibration caveat,-2.7760306155661794,54.027018242007614,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01025107,LSOA2021,England,IoD 2025,within,0.0,6,9,8,1,0,0,9.965214199490017,205.77354431152344,,,,True,3.0,0.0,49.10318702118013,1.953263418941265
F8DAA031-5405-495A-BF94-995E345CDC1A,32,99.2409402546523,motorway,family,32,risk_percentile,99.99856981846382,5.4679193,4.06676,93,3,16,64225.8,7.817,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M61,True,True,True,True,False,False,Rural,Larger rural: Nearer to a major town or city,70,,2.1897939992088116,False,False,motorway calibration caveat,-2.5968319793323418,53.63641268532387,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01024973,LSOA2021,England,IoD 2025,within,0.0,8,9,8,1,0,0,25.700971815321182,208.94427490234375,,,,True,3.0,0.0,103.43578241165808,0.39610079023232386
EEDCD4A3-3046-4C4E-8DAE-2DF46525E19F,33,99.21645445641528,motorway,family,33,risk_percentile,99.99852368357557,5.4269657,4.538974,105,1,15,61259.4,7.339,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M6,True,True,True,True,False,False,Rural,Smaller rural: Nearer to a major town or city,70,,1.3442847520440626,False,False,motorway calibration caveat,-2.3388004274103005,53.103773064436055,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01018418,LSOA2021,England,IoD 2025,within,0.0,5,8,5,1,0,0,13.325330946180555,112.77560424804688,,,,True,3.0,0.0,58.834036093883334,0.0522470545577359
7D0A97CD-91D8-4539-B67A-9DB02A915549,34,99.19196865817825,motorway,family,34,risk_percentile,99.9984775486873,5.4263053,6.856282,43,0,7,99665.4,4.705,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M56,True,True,True,True,False,False,Rural,Smaller rural: Nearer to a major town or city,70,70,1.8004108771357579,False,False,motorway calibration caveat,-2.3351867294100788,53.35781239586069,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01018648,LSOA2021,England,IoD 2025,within,0.0,5,8,10,1,0,0,11.012598673502604,90.00407409667969,,,,False,3.0,0.0,39.20608278527422,0.8168418515515249
7D11F9A8-C24C-4098-9D52-9C37B61053FB,35,99.16748285994123,motorway,family,35,risk_percentile,99.99843141379904,5.3931704,3.6422882,23,2,3,51615.2,9.927,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M180,True,True,True,True,False,False,Rural,Larger rural: Nearer to a major town or city,70,,1.5736051693536524,False,False,motorway calibration caveat,-0.6367435255065076,53.546615701668976,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01013324,LSOA2021,England,IoD 2025,within,0.0,6,9,6,1,0,0,7.663163079155816,179.66961669921875,,,,True,3.0,0.0,8.931226230931648,0.4003890079570873
2551CDE5-7DB7-4CEE-B9D6-249EAEA45841,36,99.14299706170421,motorway,family,36,risk_percentile,99.99838527891077,5.303919,4.193755,9,0,3,81878.2,5.808,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M6,True,True,True,True,False,False,Urban,Urban: Nearer to a major town or city,70,,3.1081270014534876,False,False,motorway calibration caveat,-2.6984095959276573,53.56071065895516,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01006396,LSOA2021,England,IoD 2025,within,0.0,8,9,7,1,0,0,37.020810445149735,185.91085815429688,,,,True,3.0,0.0,188.77585772169715,1.6746118194656558
13B5A690-3803-4959-8DC5-F86D0946D4B7,37,99.11851126346718,motorway,family,37,risk_percentile,99.99833914402251,5.2999444,3.5414739,34,1,7,68957.7,7.055,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,A1(M),True,True,True,True,False,False,Rural,Smaller rural: Nearer to a major town or city,70,,1.4747280131153933,False,False,motorway calibration caveat,-1.4146908177448263,54.11454298924656,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01027687,LSOA2021,England,IoD 2025,within,0.0,8,7,8,1,0,0,18.906866709391277,120.82417297363281,,,,True,3.0,0.0,107.39833826382781,2.4551715600558155
211671D5-0D9E-4119-AC90-8AB5BDFC89C4,38,99.09402546523016,motorway,family,38,risk_percentile,99.99829300913424,5.287595,6.1543117,29,2,6,97563.5,5.018,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M1,True,True,True,True,False,False,Urban,Urban: Nearer to a major town or city,70,,2.492341855478178,False,False,motorway calibration caveat,-1.2867001535794071,52.940566833499105,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01019656,LSOA2021,England,IoD 2025,within,0.0,7,10,8,1,0,0,16.660342746310764,156.25064086914062,,,,True,3.0,0.0,79.55793775244997,0.8231618632117237
981AEB74-1BC1-41F3-B11A-10657C1B899E,39,99.06953966699315,motorway,family,39,risk_percentile,99.998246874246,5.2293735,4.9841986,52,0,9,90310.2,5.125,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M1,True,True,True,True,False,False,Urban,Urban: Nearer to a major town or city,70,,2.5008643522167757,False,False,motorway calibration caveat,-1.4927730270514985,53.520196002199256,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01007459,LSOA2021,England,IoD 2025,within,0.0,5,6,3,1,0,0,16.352657741970486,154.6822052001953,,,,True,3.0,0.0,89.5766202176811,0.914223348740074
F454DAB1-296B-4FDB-8F67-2FA30FF33EBD,40,99.04505386875611,motorway,family,40,risk_percentile,99.99820073935773,5.18523,4.6141505,77,4,11,72945.8,6.419,Motorway,Motorway,motorway,motorway,Collapsed Dual Carriageway,M6,True,True,True,True,False,False,Rural,Smaller rural: Nearer to a major town or city,70,,1.0571387085817756,False,False,motorway calibration caveat,-2.461896963837713,53.32888694323923,2026-07-01T18:43:32+00:00,data/models/risk_scores.parquet,0.1.0,E01018598,LSOA2021,England,IoD 2025,within,0.0,8,10,10,1,0,0,6.395356920030382,91.49064636230469,,,,True,3.0,0.0,35.33595707716308,1.600312736681532
